binfhe-ginx

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	4011360.000000	4053489.000000	0.989607
FHEW_BTKEYGEN/STD128	2139120.000000	2143961.000000	0.997742
FHEW_ENCRYPT/MEDIUM	13.100000	12.500000	1.048000
FHEW_ENCRYPT/STD128	15.600000	14.800000	1.054054
FHEW_NOT/MEDIUM	0.145000	0.175000	0.828571
FHEW_NOT/STD128	0.166000	0.186000	0.892473
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	59555.000000	16203.000000	3.675554
FHEW_BINGATE/MEDIUM_AND	59507.000000	16332.000000	3.643583
FHEW_BINGATE/MEDIUM_NOR	59602.000000	16525.000000	3.606778
FHEW_BINGATE/MEDIUM_NAND	59345.000000	16319.000000	3.636559
FHEW_BINGATE/MEDIUM_XOR	59424.000000	16211.000000	3.665659
FHEW_BINGATE/MEDIUM_XNOR	58927.000000	16290.000000	3.617373
FHEW_BINGATE/STD128_OR/min_time:10.000	70354.000000	19928.000000	3.530409
FHEW_BINGATE/STD128_AND	70712.000000	19759.000000	3.578724
FHEW_BINGATE/STD128_NOR	70236.000000	19998.000000	3.512151
FHEW_BINGATE/STD128_NAND	70473.000000	19799.000000	3.559422
FHEW_BINGATE/STD128_XOR	71242.000000	19650.000000	3.625547
FHEW_BINGATE/STD128_XNOR	70074.000000	19683.000000	3.560128
FHEW_KEYSWITCH/MEDIUM/min_time:1.000	489.000000	523.000000	0.934990
FHEW_KEYSWITCH/STD128/min_time:1.000	808.000000	871.000000	0.927669
