binfhe-lmkcdey

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	3721069.000000	3855687.000000	0.965086
FHEW_BTKEYGEN/STD128_LMKCDEY	1596230.000000	1644889.000000	0.970418
FHEW_ENCRYPT/MEDIUM	13.300000	12.500000	1.064000
FHEW_ENCRYPT/STD128_LMKCDEY	14.100000	13.200000	1.068182
FHEW_NOT/MEDIUM	0.146000	0.183000	0.797814
FHEW_NOT/STD128_LMKCDEY	0.134000	0.188000	0.712766
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	56856.000000	18162.000000	3.130492
FHEW_BINGATE/MEDIUM_AND	57555.000000	18322.000000	3.141306
FHEW_BINGATE/MEDIUM_NOR	56620.000000	18000.000000	3.145556
FHEW_BINGATE/MEDIUM_NAND	56924.000000	18415.000000	3.091176
FHEW_BINGATE/MEDIUM_XOR	57217.000000	18374.000000	3.114020
FHEW_BINGATE/MEDIUM_XNOR	57873.000000	18467.000000	3.133860
FHEW_BINGATE/STD128_LMKCDEY_OR/min_time:10.000	63898.000000	21195.000000	3.014768
FHEW_BINGATE/STD128_LMKCDEY_AND	64662.000000	21338.000000	3.030368
FHEW_BINGATE/STD128_LMKCDEY_NOR	63420.000000	21452.000000	2.956368
FHEW_BINGATE/STD128_LMKCDEY_NAND	64426.000000	21422.000000	3.007469
FHEW_BINGATE/STD128_LMKCDEY_XOR	64564.000000	21352.000000	3.023792
FHEW_BINGATE/STD128_LMKCDEY_XNOR	64776.000000	21381.000000	3.029606
FHEW_KEYSWITCH/MEDIUM/min_time:1.000	493.000000	466.000000	1.057940
FHEW_KEYSWITCH/STD128_LMKCDEY/min_time:1.000	763.000000	854.000000	0.893443
