VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
BM_BigVec_Add<NativeVector>/parm_16:16	0.021000	0.045000	0.466667
BM_BigVec_Add<NativeVector>/parm_1024:1024	0.255000	0.259000	0.984556
BM_BigVec_Add<NativeVector>/parm_2048:2048	0.496000	0.503000	0.986083
BM_BigVec_Add<NativeVector>/parm_4096:4096	1.540000	1.640000	0.939024
BM_BigVec_Add<NativeVector>/parm_8192:8192	3.150000	3.230000	0.975232
BM_BigVec_Add<NativeVector>/parm_16384:16384	6.150000	6.340000	0.970032
BM_BigVec_Add<NativeVector>/parm_32768:32768	12.100000	12.500000	0.968000
BM_BigVec_Addeq<NativeVector>/parm_16:16	0.005000	0.005000	1.000000
BM_BigVec_Addeq<NativeVector>/parm_1024:1024	0.129000	0.128000	1.007812
BM_BigVec_Addeq<NativeVector>/parm_2048:2048	0.256000	0.252000	1.015873
BM_BigVec_Addeq<NativeVector>/parm_4096:4096	0.610000	0.732000	0.833333
BM_BigVec_Addeq<NativeVector>/parm_8192:8192	1.520000	1.530000	0.993464
BM_BigVec_Addeq<NativeVector>/parm_16384:16384	3.030000	3.050000	0.993443
BM_BigVec_Addeq<NativeVector>/parm_32768:32768	6.030000	6.060000	0.995050
BM_BigVec_Mult<NativeVector>/parm_16:16	0.072000	0.059000	1.220339
BM_BigVec_Mult<NativeVector>/parm_1024:1024	3.270000	0.457000	7.155361
BM_BigVec_Mult<NativeVector>/parm_2048:2048	6.510000	0.835000	7.796407
BM_BigVec_Mult<NativeVector>/parm_4096:4096	13.500000	1.820000	7.417582
BM_BigVec_Mult<NativeVector>/parm_8192:8192	27.300000	4.180000	6.531100
BM_BigVec_Mult<NativeVector>/parm_16384:16384	54.600000	8.180000	6.674817
BM_BigVec_Mult<NativeVector>/parm_32768:32768	109.000000	16.200000	6.728395
BM_BigVec_Multeq<NativeVector>/parm_16:16	0.058000	0.016000	3.625000
BM_BigVec_Multeq<NativeVector>/parm_1024:1024	3.190000	0.313000	10.191693
BM_BigVec_Multeq<NativeVector>/parm_2048:2048	6.360000	0.621000	10.241546
BM_BigVec_Multeq<NativeVector>/parm_4096:4096	12.700000	1.250000	10.160000
BM_BigVec_Multeq<NativeVector>/parm_8192:8192	27.000000	2.550000	10.588235
BM_BigVec_Multeq<NativeVector>/parm_16384:16384	54.000000	5.090000	10.609037
BM_BigVec_Multeq<NativeVector>/parm_32768:32768	108.000000	10.200000	10.588235
BM_BigVec_Add<M4Vector>/parm_16:16	0.962000	0.974000	0.987680
BM_BigVec_Add<M4Vector>/parm_1024:1024	86.500000	85.400000	1.012881
BM_BigVec_Add<M4Vector>/parm_2048:2048	176.000000	173.000000	1.017341
BM_BigVec_Add<M4Vector>/parm_4096:4096	354.000000	348.000000	1.017241
BM_BigVec_Add<M4Vector>/parm_8192:8192	714.000000	694.000000	1.028818
BM_BigVec_Add<M4Vector>/parm_16384:16384	1420.000000	1391.000000	1.020848
BM_BigVec_Add<M4Vector>/parm_32768:32768	2858.000000	2783.000000	1.026949
BM_BigVec_Addeq<M4Vector>/parm_16:16	0.847000	0.822000	1.030414
BM_BigVec_Addeq<M4Vector>/parm_1024:1024	58.100000	56.300000	1.031972
BM_BigVec_Addeq<M4Vector>/parm_2048:2048	116.000000	112.000000	1.035714
BM_BigVec_Addeq<M4Vector>/parm_4096:4096	235.000000	225.000000	1.044444
BM_BigVec_Addeq<M4Vector>/parm_8192:8192	468.000000	449.000000	1.042316
BM_BigVec_Addeq<M4Vector>/parm_16384:16384	943.000000	900.000000	1.047778
BM_BigVec_Addeq<M4Vector>/parm_32768:32768	1876.000000	1796.000000	1.044543
BM_BigVec_Mult<M4Vector>/parm_16:16	1.930000	1.880000	1.026596
BM_BigVec_Mult<M4Vector>/parm_1024:1024	133.000000	131.000000	1.015267
BM_BigVec_Mult<M4Vector>/parm_2048:2048	264.000000	262.000000	1.007634
BM_BigVec_Mult<M4Vector>/parm_4096:4096	528.000000	522.000000	1.011494
BM_BigVec_Mult<M4Vector>/parm_8192:8192	1055.000000	1043.000000	1.011505
BM_BigVec_Mult<M4Vector>/parm_16384:16384	2112.000000	2090.000000	1.010526
BM_BigVec_Mult<M4Vector>/parm_32768:32768	4220.000000	4171.000000	1.011748
BM_BigVec_Multeq<M4Vector>/parm_16:16	1.630000	1.580000	1.031646
BM_BigVec_Multeq<M4Vector>/parm_1024:1024	103.000000	100.000000	1.030000
BM_BigVec_Multeq<M4Vector>/parm_2048:2048	206.000000	201.000000	1.024876
BM_BigVec_Multeq<M4Vector>/parm_4096:4096	411.000000	399.000000	1.030075
BM_BigVec_Multeq<M4Vector>/parm_8192:8192	825.000000	799.000000	1.032541
BM_BigVec_Multeq<M4Vector>/parm_16384:16384	1652.000000	1600.000000	1.032500
BM_BigVec_Multeq<M4Vector>/parm_32768:32768	3299.000000	3194.000000	1.032874
