VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
BM_VecInt_AddEq<NativeVector>/RingDm:16384	2.250000	2.270000	0.991189	2.260000	0.995575	2.870000	0.783972	2.250000	1.000000	2.250000	1.000000	2.300000	0.978261	2.260000	0.995575	2.250000	1.000000	3.090000	0.728155	3.090000	0.728155	11.700000	0.192308
BM_VecInt_AddEq<NativeVector>/RingDm:32768	4.500000	4.550000	0.989011	4.520000	0.995575	5.750000	0.782609	4.510000	0.997783	4.510000	0.997783	4.600000	0.978261	4.520000	0.995575	4.500000	1.000000	6.170000	0.729335	6.170000	0.729335	23.500000	0.191489
BM_VecInt_Mul<NativeVector>/RingDm:1024	0.317000	0.313000	1.012780	0.315000	1.006349	0.314000	1.009554	0.286000	1.108392	0.299000	1.060201	0.322000	0.984472	0.313000	1.012780	0.313000	1.012780	0.337000	0.940653	0.335000	0.946269	0.335000	0.946269
BM_VecInt_Mul<NativeVector>/RingDm:4096	1.410000	1.410000	1.000000	1.420000	0.992958	1.410000	1.000000	1.420000	0.992958	1.430000	0.986014	1.400000	1.007143	1.400000	1.007143	1.420000	0.992958	1.430000	0.986014	1.420000	0.992958	1.430000	0.986014
BM_VecInt_Mul<NativeVector>/RingDm:16384	7.110000	6.710000	1.059613	6.700000	1.061194	7.080000	1.004237	6.420000	1.107477	6.460000	1.100619	6.700000	1.061194	6.690000	1.062780	6.690000	1.062780	6.800000	1.045588	6.650000	1.069173	6.660000	1.067568
BM_VecInt_Mul<NativeVector>/RingDm:32768	13.200000	13.600000	0.970588	13.200000	1.000000	13.500000	0.977778	12.600000	1.047619	12.600000	1.047619	13.100000	1.007634	13.200000	1.000000	13.200000	1.000000	13.200000	1.000000	13.000000	1.015385	13.300000	0.992481
BM_VecInt_MulEq<NativeVector>/RingDm:1024	0.157000	0.155000	1.012903	0.156000	1.006410	0.154000	1.019481	0.150000	1.046667	0.152000	1.032895	0.154000	1.019481	0.154000	1.019481	0.154000	1.019481	0.165000	0.951515	0.164000	0.957317	0.167000	0.940120
BM_VecInt_MulEq<NativeVector>/RingDm:4096	0.608000	0.608000	1.000000	0.601000	1.011647	0.599000	1.015025	0.592000	1.027027	0.593000	1.025295	0.607000	1.001647	0.607000	1.001647	0.599000	1.015025	0.649000	0.936826	0.640000	0.950000	0.650000	0.935385
BM_VecInt_MulEq<NativeVector>/RingDm:16384	2.710000	2.710000	1.000000	2.710000	1.000000	2.710000	1.000000	2.340000	1.158120	2.340000	1.158120	2.710000	1.000000	2.710000	1.000000	2.710000	1.000000	2.700000	1.003704	2.700000	1.003704	2.700000	1.003704
BM_VecInt_MulEq<NativeVector>/RingDm:32768	5.410000	5.410000	1.000000	5.410000	1.000000	5.410000	1.000000	4.670000	1.158458	4.670000	1.158458	5.410000	1.000000	5.410000	1.000000	5.410000	1.000000	5.400000	1.001852	5.400000	1.001852	5.400000	1.001852
